ticks, muscleMass, averageAnabolic, averageCatabolic 
121,1746.752778038996,61.71835799363675,57.64118913186543 
122,1748.6870206718438,57.0986816317411,52.67932169662583 
123,1750.551393781651,52.63512311377738,48.66572806026559 
124,1751.046169282822,48.52175348678892,47.32961168430477 
125,1750.6348946928367,46.36135097829295,46.94537748393694 
126,1752.330106400841,64.30914231484697,59.82501337620722 
127,1754.421120026795,59.615662814336744,54.66176282305176 
128,1756.6889029671313,55.02855336739885,50.08026517508847 
129,1757.941858886903,50.61393929159271,47.86528677005711 
130,1757.9505528920643,47.47412763558571,47.191545318848625 
131,1759.9021649426575,63.787367731590926,58.78393734666106 
132,1762.2545674912565,59.10652956416828,53.65361918125386 
133,1764.6629693400864,54.534883852604004,49.344220746687085 
134,1765.9796688772738,50.23521582484136,47.401030049906936 
135,1766.0775102305815,47.266725276436624,46.88282486419995 
136,1768.1029345661204,64.27131773174743,59.07107574043468 
137,1770.5062472962672,59.58571206718051,54.005199864794314 
138,1773.1112893211214,55.01899676583545,49.45375861362985 
139,1774.7007467817325,50.6385405104395,47.33975927535086 
140,1774.7376345586756,47.09180472677299,46.843907651636755 
141,1776.6992184842552,64.16477939081093,59.08093070718624 
142,1779.01657647209,59.50391791839757,54.067330057534704 
143,1781.457674075859,55.01348566170967,49.71716407777583 
144,1783.029038768739,50.78165198868402,47.46030375103897 
145,1783.2532975221561,47.49602415503243,46.86938040267569 
146,1785.3403642903654,64.6256208636614,59.1416905614154 
147,1787.7951060310722,59.966980544837185,54.13600234056818 
148,1790.2705046677802,55.45496329711267,49.964924867012044 
149,1791.9416445851502,51.30655150971977,47.687114544110244 
150,1792.2469767705595,47.93452618892657,47.10859566137086 
151,1794.3352500753035,63.65201385324448,58.26281824536282 
152,1796.7921447791125,58.99865672847949,53.2768057215013 
153,1799.2894086870149,54.46074439473824,49.06761475820337 
154,1800.4903908584376,50.21692532138675,47.58848433580425 
155,1800.4218457040017,47.21995478692092,47.101386454759265 
156,1802.3387076178738,64.82124067661888,59.72801266560401 
157,1804.6481572602856,60.14785263525501,54.620660157007464 
158,1807.0694895954741,55.59799044094327,50.22805747546114 
159,1808.6349449787897,51.337662082713386,47.91166929292996 
160,1808.9452461959077,48.085492783448515,47.20321440400353 
161,1811.1211623182132,64.691238669558,59.04930238303234 
162,1813.6974851244083,60.02157857491381,53.9721552027237 
163,1816.4754662162682,55.46214955286052,49.45127217730603 
164,1818.0838953738714,51.05494163471687,47.594304163335224 
165,1818.185411772626,47.58520940551661,47.089526755841064 
166,1820.1761383526232,63.504745202535446,58.39562637795641 
167,1822.5260110555828,58.86622598167406,53.40079630198211 
168,1824.8700447900917,54.342928756531556,49.25955985792675 
169,1826.1610367163937,50.17305298138565,47.37878158196494 
170,1826.2570105796758,47.273308153578576,46.87135498075868 
171,1828.3157241695392,65.00655802920825,59.61972545676034 
172,1830.7423007725756,60.34310400482621,54.5934910653027 
173,1833.2759459946533,55.80360284824193,50.23217969257328 
174,1835.1677548810749,51.54815703641876,47.5514594047001 
175,1835.686672421951,48.08234612344027,46.878407417708544 
176,1838.148668062743,67.1515888997428,60.70090696229665 
177,1840.9962698587383,62.439002238996856,55.61550990427067 
178,1844.0895070952663,57.86000206151939,50.98391877142655 
179,1846.8453349573106,53.49944664660102,47.73363968163621 
180,1848.085467195995,49.509328444209736,46.935594411980176 
181,1850.9303641952215,66.10913789397603,58.80919850628433 
182,1854.1859722118768,61.428590923387176,53.793735271226225 
183,1857.5577550589453,56.85175561912762,49.49773567648849 
184,1859.8691003510253,52.48710704643531,47.57187113947874 
185,1860.545696449614,48.71179045181822,47.12460530950588 
186,1862.9396981704112,64.71011043388992,58.50278654787455 
187,1865.7486188196192,60.07100355718679,53.48170426729188 
188,1868.6232877423008,55.55185866292675,49.27540667838032 
189,1870.2656323557233,51.29337972409048,47.68579446223139 
190,1870.443070864235,47.82645100654275,47.14124335627305 
191,1872.5517267638168,64.9294319008179,59.376700557178104 
192,1875.0573009440004,60.295116488284314,54.33296067084448 
193,1877.6439135842063,55.776768623246255,50.039613421968774 
194,1879.3930456560329,51.480773752127476,47.672167982096745 
195,1879.8063900192408,48.11449452841938,47.027055784655175 
196,1882.0683816132391,66.23793438484128,60.11138321358982 
197,1884.7247536773577,61.592404402379934,55.07493489874834 
198,1887.5685755194866,57.06917608050119,50.587325285708005 
199,1889.549706806295,52.757299677366525,48.22077165795696 
200,1890.457590444091,49.48028931120087,47.23739020404898 
201,1893.1206752937355,68.39374428997725,60.931333274431765 
202,1896.1696304466404,63.69610197985727,55.848711138763235 
203,1899.3717725351908,59.12117837330643,51.31780465205586 
204,1902.0074176193634,54.835399973753916,48.414080486876045 
205,1903.5458011563442,51.308284069603594,47.46462490253516 
206,1906.727283960056,70.0055875466672,61.02423556533347 
207,1910.248545248381,65.27392660832254,55.93310042074721 
208,1913.9723806621485,60.64192061029205,51.20800875444733 
209,1917.2641823045972,56.11809265722182,47.9872323986757 
210,1919.1511470302262,51.91695139974252,47.242545364821055 
211,1922.4863899234815,69.29516640093848,59.76813226709017 
212,1926.1724801267787,64.59003946806979,54.718017416788356 
213,1929.9402016812583,59.98443326760765,50.267289377121294 
214,1932.898010137047,55.49446648023557,47.9518663386425 
215,1934.5653358563532,51.49670726637505,47.20564185416784 
216,1937.6683307273704,66.18441934960481,57.629723456781306 
217,1941.0666269253827,61.54891028753658,52.75511673609278 
218,1944.4966622136576,57.04147074849247,48.730020001723524 
219,1946.933704788994,52.77923119870833,47.19810370387157 
220,1947.8877305150636,49.176479393087966,46.85401913022448 
221,1950.6475599650744,68.47935140526901,60.877127925271125 
222,1953.8324312895825,63.80283077482834,55.784872604609454 
223,1957.3193026087902,59.22901141974097,51.052416261511326 
224,1960.27616036304,54.80836781824496,48.031887658193504 
225,1961.7464057627499,50.833010857914026,47.27490153724888 
226,1964.7674304197865,67.93304384845507,59.55400845933254 
227,1968.1744074025532,63.286724992128626,54.53412050808053 
228,1971.679115673949,58.7640486846543,50.168724041498464 
229,1974.309579324381,54.474253118663974,48.0073094698153 
230,1975.6964581077712,50.83667740908399,47.28123924842295 
231,1978.770014742067,69.24273442273594,60.6025199234112 
232,1982.2446394902581,64.56484325401821,55.5172935738607 
233,1985.9414757623526,59.98521159311101,50.86279082297621 
234,1989.0773186501278,55.52476124442962,48.01542222534308 
235,1990.7424102043049,51.35821935501637,47.282467488819705 
236,1993.915510404472,67.80095912543501,59.04620311710279 
237,1997.4902673293132,63.16375521613999,54.02185803585273 
238,2001.2308046422265,58.62579385243367,49.60716501663622 
239,2003.8871045925687,54.19638501256099,47.88377437432868 
240,2004.9770279862337,50.193222527516845,47.298810724976626 
241,2007.818016814021,67.94471555484643,60.07492532524316 
242,2011.096932138942,63.30952873523657,55.00210975818386 
243,2014.6197484080647,58.77260241406642,50.432812231794266 
244,2017.4541907857663,54.34835907124289,47.8178250251786 
245,2018.7212588828481,50.281429280325675,47.191470479555356 
246,2021.6736029639821,67.48116488324087,59.559136804183176 
247,2025.0506919908612,62.85957516058973,54.542465516337366 
248,2028.6554614070085,58.337726838858956,49.982398172531745 
249,2031.4581789898455,53.96848688913492,47.6984320318958 
250,2032.6203793974234,49.94221100799014,47.12464478983348 
251,2035.5369795564404,68.87747706226308,60.84689156279684 
252,2038.8861957096196,64.23741403531542,55.78784006280187 
253,2042.4943832291747,59.694481480490154,51.16894485082961 
254,2045.50304014685,55.257973705524435,48.29877202230951 
255,2047.0767445223137,51.14754782608798,47.37257503288835 
256,2050.2362665484247,69.35891319680402,60.54122912353848 
257,2053.8201481020774,64.71643165067192,55.49465669753315 
258,2057.65812260425,60.170163495560395,50.89894445756046 
259,2060.8545395690303,55.72966715421808,48.21811551762004 
260,2062.5225123804294,51.53797430097376,47.47359658025052 
261,2065.7873281638613,70.47425005811446,61.21698326375567 
262,2069.4701575543168,65.8148205256684,56.144654290357956 
263,2073.4248758069134,61.251411794295855,51.452170291689036 
264,2076.830386762561,56.80478826403586,48.42133912830302 
265,2078.930132925524,52.633448356222,47.298738895894445 
266,2082.443883104028,70.06667380865993,59.87235445738741 
267,2086.3033762066166,65.42485045682328,54.887020501434606 
268,2090.2613387342217,60.88120177784869,50.459436110256185 
