,avg of sum,avg of ana,avg of cata
920,2108.253493,173.4466822,172.2294432
921,2107.990948,200,202.1074664
922,2107.823126,193.2754997,194.5738959
923,2107.756334,186.6073399,187.1056601
924,2107.797233,179.9970507,179.7047792
925,2107.953067,173.4462418,172.3733775
926,2107.67311,200,202.2476594
927,2107.487355,193.2753512,194.7127753
928,2107.402075,186.6070347,187.2431842
929,2107.423898,179.9965801,179.8409038
930,2107.560031,173.4455973,172.5080563
931,2107.263927,200,202.3777542
932,2107.06154,193.2751535,194.8416038
933,2106.959113,186.6066319,187.3707081
934,2106.963242,179.9959651,179.9670827
935,2107.081099,173.4447625,172.6328479
936,2106.770181,200,202.4971899
937,2106.552532,193.2749101,194.9598281
938,2106.434369,186.606139,187.4876863
939,2106.422259,179.9952164,180.0827784
940,2106.523342,173.443752,172.7472225
941,2106.198995,200,202.6055106
942,2105.967511,193.2746248,195.0669991
943,2105.835081,186.6055634,187.5936766
944,2105.808246,179.9943456,180.1875553
945,2105.894118,173.4425809,172.8507519
946,2105.55777,200,202.702364
947,2105.31392,193.2743016,195.1627704
948,2105.168736,186.6049131,187.6883385
949,2105.128736,179.9933644,180.2810793
950,2105.201007,173.4412651,172.9431079
951,2104.854115,200,202.7874992
952,2104.599397,193.2739445,195.2468963
953,2104.443003,186.6041963,187.7714318
954,2104.391431,179.9922851,180.3631155
955,2104.451743,173.4398207,173.0240612
956,2104.09578,200,202.8607645
957,2103.831711,193.2735578,195.3192298
958,2103.66567,186.6034211,187.8428139
959,2103.604136,179.9911199,180.4335257
960,2103.654152,173.4382641,173.093478
961,2103.290596,200,202.9221046
962,2103.018698,193.2731456,195.3797191
963,2102.844578,186.6025961,187.9024367
964,2102.774699,179.9898815,180.4922656
965,2102.816088,173.436612,173.1513177
966,2102.446412,200,202.9715564
967,2102.168202,193.2727121,195.4284041
968,2101.987564,186.6017294,187.9503432
969,2101.91095,179.9885822,180.5393809
970,2101.945374,173.4348808,173.1976288
971,2101.571035,200,203.0092452
972,2101.288011,193.2722615,195.4654125
973,2101.1024,186.6008296,187.9866629
974,2101.020644,179.9872346,180.5750034
975,2101.049748,173.4330871,173.2325452
976,2100.672174,200,203.0353803
977,2100.385808,193.271798,195.4909549
978,2100.19674,186.5999047,188.011608
979,2100.111407,179.9858508,180.5993465
980,2100.136804,173.4312472,173.2562812
981,2099.757389,200,203.0502496
982,2099.469115,193.2713256,195.5053201
983,2099.278069,186.598963,188.0254679
984,2099.190683,179.9844431,180.6127
985,2099.213947,173.429377,173.2691272
986,2098.83404,200,203.0542145
987,2098.545246,193.2708483,195.5088694
